ITERATION_DATA
~~~~~~~~~~~~~~~~~~~~~~~START-SORTING~~~~~~~~~~~~~~~~~~~~~~~~~~~~
OsorteradIBlock
---------START-STRUCTURE---------
ArrayList
"timeAddAll"	"timeSort"	"timeContains"	"timeGet"	"timeRemove"	"timeSize"
665680583	5727249875	36991833	452000	49893923292	245416
680650500	5100521125	31598917	363917	48383000041	220083
741121708	5446346333	34340875	476500	50723466542	212584
926828458	5682928500	34469125	408583	50815010458	236375
695232250	5184845708	44004708	572041	52467128500	215041
826159542	5843559500	35941292	487417	55034994708	240250
634118209	5069004042	31779666	345500	48662824625	221875
666925917	6106202625	43641417	508458	49240913125	237250
784949083	5443153209	34235958	491667	51082793333	211125
814591208	5454591000	38762167	612541	50184291208	270667
595603292	5078976083	33224709	403875	48002079458	198041
587310000	4622574083	30030792	330666	42941127708	210417
530409334	4553915209	28885917	319792	43423712125	241584
585194375	4660516292	30054375	330334	44229211250	230000
522446000	4147144667	26993375	319625	39675716958	185083
500053833	4314070250	27520958	354041	39959840083	222041
692109458	4745042500	30581042	341583	44048964041	199208
524882333	4661224542	30000375	357000	43449341458	195583
535062959	4972364584	31301458	376666	46262125833	208584
536166583	4788373125	29935750	338416	43246893000	192958
568688000	4763033000	30144666	326083	45196477833	254667
371944083	4672603208	30571583	333875	43955296500	220041
587087792	4743994833	29913916	331000	45479800458	205417
615412375	5037551375	30540292	335958	47388809041	204500
778870042	5026421916	29993791	356208	45139465417	306958
630166166	4952715375	31080708	639166	44945895417	200625
553821666	4691173166	30301834	341750	44143547459	245333
540860833	4626132167	30145792	338666	43373077083	197208
580600417	4705799500	29631625	329416	46618340292	221667
372751500	5461390125	33215250	421458	47688624250	240750
574387500	4569981792	29125708	352750	42935755000	197500
581294459	4964918292	31120542	341000	43677023708	200375
602558500	4696642875	32457750	351625	44033041041	258791
667981125	4682033000	30333458	361750	43725049375	211750
591316583	4667894791	30156083	328208	43887865542	202333
537266209	4558029000	30457000	339500	43460859750	203583
558463000	4702611625	31554875	351708	44131517000	199834
543471333	4347907667	29842417	327166	42254048333	197375
560916583	4978504250	31498000	331083	46999832750	197625
590520917	4931162083	30387083	344417	45095654917	204875
625116792	4807283916	31287292	328042	44114880833	212708
---------END-STRUCTURE---------

---------START-STRUCTURE---------
LinkedList
"timeAddAll"	"timeSort"	"timeContains"	"timeGet"	"timeRemove"	"timeSize"
645743000	4719348625	103775834	48492375	732991375	318125
